id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
29508,LSPH,small_airport,"Winterthur Airfield",47.514999,8.77194,1506,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Winterthur,0,LSPH,,,,https://de.wikipedia.org/wiki/Flugplatz_Winterthur,"Flugplatz Winterthur, Flugplatz Hegmatten",50,2024-05-15T21:15:43+00:00
355531,CH-0008,heliport,"REGA basis Erstfeld",46.83416,8.63832,,EU,Switzerland,CH,Uri,CH-UR,UR,,0,,,,,,,0,2022-07-09T04:33:43+00:00
514417,CH-0026,heliport,"Appenzell Cantonal Health Center Heliport",47.33454,9.41593,2616,EU,Switzerland,CH,"Appenzell Innerrhoden",CH-AI,AI,Appenzell,0,,,,,,"Kantonales Gesundheitszentrum Appenzell",0,2023-11-28T06:07:51+00:00
514482,CH-0031,heliport,"Zug Cantonal Hospital Heliport",47.1941,8.51831,,EU,Switzerland,CH,Zug,CH-ZG,ZG,Baar,0,,,,,,"Hubschrauberlandeplatz Zuger Kantonsspital",0,2023-11-07T11:55:49+00:00
514484,CH-0032,heliport,"Baden Cantonal Hospital Heliport",47.45567,8.27856,,EU,Switzerland,CH,Aargau,CH-AG,AG,Baden,0,,,,,,,0,2023-11-07T12:03:13+00:00
514413,CH-0024,heliport,"Messe Basel Emergency Heliport",47.56359,7.60154,,EU,Switzerland,CH,Basel-Stadt,CH-BS,BS,Basel,0,,,,,,,0,2023-11-06T11:35:18+00:00
324883,LSHI,heliport,"Inselspital Hospital Heliport",46.948237,7.424296,1880,EU,Switzerland,CH,Bern,CH-BE,BE,Bern,0,LSHI,,,,,,0,2023-11-06T12:51:28+00:00
514409,CH-0022,heliport,"Tiefenau Hospital Heliport",46.97611,7.45394,1742,EU,Switzerland,CH,Bern,CH-BE,BE,Bern,0,,,,,,,0,2023-11-06T11:14:20+00:00
514412,CH-0023,heliport,"Basel-Landschaft Cantonal Hospital Bruderholz Heliport",47.52771,7.58143,,EU,Switzerland,CH,Basel-Landschaft,CH-BL,BL,Bruderholz,0,,,,,,,0,2023-11-06T11:30:17+00:00
513831,CH-0016,heliport,"Bülach Hospital Heliport",47.521867,8.533201,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Bülach,0,,,,,,,0,2023-10-26T15:40:42+00:00
324129,LSHC,heliport,"Collombey-Muraz Heliport",46.268501,6.959773,,EU,Switzerland,CH,Valais,CH-VS,VS,Collombey-Muraz,0,LSEC,,,,,LSHC,0,2023-10-29T11:38:16+00:00
514020,CH-0021,heliport,"Davos Hospital Heliport",46.78764,9.81413,,EU,Switzerland,CH,Grisons,CH-GR,GR,Davos,0,,,,,,,0,2023-10-29T11:49:00+00:00
514021,LSMV,heliport,"Davos Stilli Heliport",46.812229,9.849857,5157,EU,Switzerland,CH,Grisons,CH-GR,GR,Davos,0,LSMV,,,,,,0,2023-10-29T11:59:04+00:00
514660,CH-0035,heliport,"Jura Hospital Delémont Heliport",47.36894,7.34014,1511,EU,Switzerland,CH,Jura,CH-JU,JU,Delémont,0,,,,,,,0,2023-11-10T04:47:00+00:00
